[Multi] Pair: SOL/USD
[Multi] RSI buy<40, sell>58
[Multi] Drawdown limit: 3.0%
[CrossMind] Initialized in live mode
[CrossMind] Initial capital: $10,000.00
[CrossMind] Dead Man's Switch ENABLED — orders auto-cancel if agent stops

============================================================
  CrossMind Live Paper Trading
  Pair: SOL/USD | Interval: 120s
  Max Drawdown: 3.0%
============================================================

  ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.52 | RSI 59.65 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.50 | RSI 59.57 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.53 | RSI 59.69 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.36 | RSI 59.0 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.49 | RSI 59.53 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.52 | RSI 59.65 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.49 | RSI 59.53 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.42 | RSI 59.25 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.46 | RSI 59.41 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.44 | RSI 59.33 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.38 | RSI 59.09 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT  
